genre,sold by,daily average.amazon revenue,daily average.author revenue,daily average.gross sales,daily average.publisher revenue,daily average.units sold,publisher.name,publisher.type,statistics.average rating,statistics.sale price,statistics.sales rank,statistics.total reviews
nonfiction,Random House LLC,781.156,781.156,3905.78,2343.468,358,Crown Forum,big five,4.76,10.91,285,2236
genre fiction,Macmillan,212.888,212.888,1064.44,638.664,356,Minotaur Books,big five,4.73,2.99,286,94
nonfiction,Simon and Schuster Digital Sales Inc,141.29,141.29,706.45,423.87,355,Simon & Schuster,big five,4.53,1.99,287,143
genre fiction,"Amazon Digital Services,  Inc.",682.1685,367.3215,1049.49,0.0,351,47North,amazon,4.32,2.99,289,869
nonfiction,"Amazon Digital Services,  Inc.",69.498,69.498,347.49,208.494,351,(Small or Medium Publisher),small/medium,4.3,0.99,289,26
genre fiction,"Amazon Digital Services,  Inc.",225.225,121.275,346.5,0.0,350,(Indie Publisher),indie,4.18,0.99,290,109
genre fiction,"Amazon Digital Services,  Inc.",223.938,120.582,344.52,0.0,348,(Indie Publisher),indie,4.61,0.99,291,34
nonfiction,Simon and Schuster Digital Sales Inc,206.31,206.31,1031.55,618.93,345,Simon & Schuster,big five,4.65,2.99,293,1709
genre fiction,"Amazon Digital Services,  Inc.",307.671,717.899,1025.57,0.0,343,(Indie Publisher),indie,4.92,2.99,294,13
genre fiction,"Amazon Digital Services,  Inc.",662.7335,356.8565,1019.59,0.0,341,Montlake Romance,amazon,4.19,2.99,295,717
fiction,Simon and Schuster Digital Sales Inc,203.918,203.918,1019.59,611.754,341,Simon & Schuster,big five,2.89,2.99,295,735
genre fiction,Penguin Group (USA) LLC,774.52,774.52,3872.6,2323.56,340,Putnam Adult,big five,3.49,11.39,296,1035
genre fiction,"Amazon Digital Services,  Inc.",1096.303,590.317,1686.62,0.0,338,Montlake Romance,amazon,4.41,4.99,297,68
genre fiction,"Amazon Digital Services,  Inc.",1089.816,586.824,1676.64,0.0,336,47North,amazon,4.17,4.99,298,106
genre fiction,HarperCollins Publishers,133.33,133.33,666.65,399.99,335,HarperCollins,big five,4.61,1.99,299,13
genre fiction,Random House LLC,524.144,524.144,2620.72,1572.432,328,Broadway Books,big five,4.12,7.99,303,1874
genre fiction,Penguin Group (USA) LLC,575.064,575.064,2875.32,1725.192,326,Berkley,big five,4.43,8.82,304,822
genre fiction,"Amazon Digital Services,  Inc.",390.222,910.518,1300.74,0.0,326,(Indie Publisher),indie,4.67,3.99,304,448
